SymptomName,CanonicalSymptom
bone swelling,bone swelling
bone redness,bone redness
bone warmth,bone warmth
bone stiffness,bone stiffness
bone tenderness,bone tenderness
joint redness,joint redness
joint swelling,joint swelling
joint warmth,joint warmth
joint tenderness,joint tenderness
joint pain during movement,joint pain
joint pain at rest,joint pain
joint locking,joint locking
joint clicking,joint clicking
joint popping,joint popping
joint swelling after activity,joint swelling
joint swelling in the morning,joint swelling
joint stiffness after inactivity,joint stiffness
joint pain in the morning,joint pain
joint pain after exercise,joint pain
joint pain at night,joint pain
joint swelling after injury,joint swelling
joint pain with swelling,joint pain
joint pain without swelling,joint pain
joint stiffness in the morning,joint stiffness
joint stiffness after exercise,joint stiffness
joint pain during exercise,joint pain
joint stiffness after rest,joint stiffness
joint pain with movement,joint pain
joint pain without movement,joint pain
joint pain during sleep,joint pain
joint swelling during sleep,joint swelling
joint redness during exercise,joint redness
joint warmth after exercise,joint warmth
joint tenderness after injury,joint tenderness
muscle pain,muscle pain
muscle weakness after injury,muscle weakness
muscle cramps at night,muscle cramps
muscle spasms during sleep,muscle spasms
muscle stiffness after rest,muscle stiffness
muscle tenderness after exercise,muscle tenderness
muscle weakness during activity,muscle weakness
muscle atrophy due to disuse,muscle atrophy
muscle weakness without atrophy,muscle weakness
muscle stiffness during movement,muscle stiffness
muscle weakness after injury,muscle weakness
muscle pain,muscle pain
muscle tenderness after exercise,muscle tenderness
muscle spasms after exercise,muscle spasms
skin dryness due to weather,skin dryness
skin peeling due to eczema,skin peeling
skin itching due to allergies,skin itching
skin burning due to dermatitis,skin burning
skin redness due to infection,skin redness
skin swelling due to injury,skin swelling
skin tenderness due to inflammation,skin tenderness
skin blisters due to friction,skin blisters
skin ulcers due to pressure,skin ulcers
skin sores due to infection,skin sores
skin growths due to cancer,skin growths
skin discoloration due to sun exposure,skin discoloration
skin dryness due to dehydration,skin dryness
skin cracking due to cold weather,skin cracking
skin itching due to insect bites,skin itching
skin burning due to chemical exposure,skin burning
skin pain due to burns,skin pain
skin tenderness due to inflammation,skin tenderness
eye dryness,eye dryness
eye irritation,eye irritation
eye discharge,eye discharge
eye redness,eye redness
eye pain,eye pain
eye swelling,eye swelling
eye tearing,eye tearing
eye blurriness,vision changes
eye fatigue,eye fatigue
eye strain,eye strain
eye sensitivity to light,vision changes
eye watering,eye tearing
eye twitching,eye twitching
eye congestion,eye congestion
eye dryness,eye dryness
eye itching,eye itching
eye swelling,eye swelling
eye redness,eye redness
eye pain,eye pain
eye vision loss,vision changes
eye floaters,vision changes
eye flashes,vision changes
ear itching,ear itching
ear dryness,ear dryness
ear discharge,ear discharge
ear pain,ear pain
ear redness,ear redness
ear swelling,ear swelling
ear ringing,tinnitus
ear fullness,ear fullness
ear congestion,ear congestion
ear fluid,ear fluid
ear wax buildup,ear wax buildup
ear infection,ear infection
earache,ear pain
hearing loss,hearing loss
tinnitus,tinnitus
balance issues,balance issues
vertigo,vertigo
dizziness,dizziness
swimming pool ear,ear infection
outer ear pain,ear pain
middle ear pain,ear pain
inner ear pain,ear pain
ear buzzing,tinnitus
ear clicking,ear clicking
ear popping,ear popping
ear sensitivity,ear sensitivity
ear tightness,ear tightness
ear sensation of fullness,ear fullness
ear pressure,ear pressure
hearing noises,hearing loss
hearing muffled sounds,hearing loss
hearing fluctuating sounds,hearing loss
hearing loss in one ear,hearing loss
hearing loss in both ears,hearing loss
hearing difficulty,hearing loss
difficulty breathing,shortness of breath
chest tightness,chest tightness
wheezing,wheezing
dry cough,cough
productive cough,cough
barking cough,cough
persistent cough,cough
non-productive cough,cough
wet cough,cough
dry cough,cough
unproductive cough,cough
cough with phlegm,cough
cough with mucus,cough
cough with blood,cough
cough with sputum,cough
coughing up blood,cough
coughing up phlegm,cough
coughing up mucus,cough
coughing up sputum,cough
sneezing fits,sneezing
frequent sneezing,sneezing
sneezing spells,sneezing
sneezing bouts,sneezing
sneezing attacks,sneezing
sneezing episodes,sneezing
nasal congestion,nasal congestion
stuffy nose,nasal congestion
blocked nose,nasal congestion
clogged nose,nasal congestion
runny nose,runny nose
clear runny nose,runny nose
watery eyes,eye tearing
dry eyes,dry eyes
itchy eyes,itchy eyes
burning eyes,eye burning
red eyes,eye redness
swollen eyes,eye swelling
painful eyes,eye pain
vision changes,vision changes
double vision,double vision
blurred vision,vision changes
trouble seeing,vision changes
difficulty seeing,vision changes
night blindness,vision changes
day blindness,vision changes
light sensitivity,vision changes
dark sensitivity,vision changes
double vision,double vision
floaters,vision changes
flashes of light,vision changes
dim vision,vision changes
loss of vision,vision changes
partial vision loss,vision changes
complete vision loss,vision changes
slow vision,vision changes
rapid vision,vision changes
tunnel vision,vision changes
peripheral vision loss,vision changes
central vision loss,vision changes
visual distortions,vision changes
blind spots,vision changes
sight flashing,vision changes
sight flickering,vision changes
sight tingling,vision changes
sight buzzing,vision changes
sight burning,vision changes
sight itching,vision changes
sight redness,vision changes
sight swelling,vision changes
sight pain,vision changes
sight dryness,vision changes
sight tearing,vision changes
sight discharge,vision changes
sight heaviness,vision changes
sight tightness,vision changes
sight fullness,vision changes
sight sensitivity,vision changes
sight irritation,vision changes
sight inflammation,vision changes
stomach is paining, abdominal pain
backache, backache
back ache, backache
knee pain, knee pain
knee is paining, knee pain
knees are hurting, knee pain
knee is paining, knee pain
knee ache, knee pain
eyes are paining, eye pain
knees ache,knee pain
knee discomfort,knee pain
kneeling discomfort,knee pain
knee soreness,knee pain
knee tenderness,knee pain
knee throbbing,knee pain
knee swelling,knee pain
cramps,cramps
muscle cramps,cramps
leg cramps,cramps
abdominal cramps,cramps
cramping sensations,cramps
cramp-like pain,cramps
cramps in legs,cramps
cramps during exercise,cramps
cramps at night,cramps
cramps and spasms,cramps
ulcers,ulcers
bleeding,bleeding
anxiety,anxiety
insomnia,insomnia
cancer,cancer
hypertension,hypertension
diabetes,diabetes
tinnitus,tinnitus
palpitations,palpitations
urinary frequency,urinary frequency
urinary urgency,urinary urgency
tingling,tingling
night sweats,night sweats
dry mouth,dry mouth
excessive thirst,excessive thirst
acne,acne
bruising,bruising
confusion,confusion
memory loss,memory loss
hoarseness,hoarseness
wheezing,wheezing
itchy eyes,itchy eyes
dry eyes,dry eyes
difficulty swallowing,difficulty swallowing
restlessness,restlessness
yellow skin,yellow eyes
yellow eyes,yellow eyes
bloating,bloating
abdominal bloating,bloating
feeling bloated,bloating
stomach bloating,bloating
bloated stomach,bloating
bloating sensation,bloating
bloating and discomfort,bloating
chest bloating,bloating
bloating and gas,bloating
abdominal swelling,bloating
gas,gas
excess gas,gas
flatulence,gas
intestinal gas,gas
abdominal gas,gas
gas buildup,gas
excessive gas,gas
gas pains,gas
gas and bloating,gas
gas discomfort,gas
hiccups,hiccups
singultus,hiccups
persistent hiccups,hiccups
constant hiccups,hiccups
frequent hiccups,hiccups
hiccup episodes,hiccups
hiccups and discomfort,hiccups
hiccups at night,hiccups
hiccups and nausea,hiccups
hiccups and pain,hiccups
indigestion,indigestion
dyspepsia,indigestion
upset stomach,indigestion
stomach discomfort,indigestion
indigestion pain,indigestion
indigestion and bloating,indigestion
chronic indigestion,indigestion
indigestion after eating,indigestion
indigestion and nausea,indigestion
indigestion and gas,indigestion
heartburn,heartburn
acid reflux,heartburn
gastroesophageal reflux,heartburn
burning sensation in chest,heartburn
esophageal reflux,heartburn
acid indigestion,heartburn
burning in chest,heartburn
chest burning,heartburn
burning sensation after eating,heartburn
heartburn and indigestion,heartburn
mouth sores,mouth sores
canker sores,mouth sores
aphthous ulcers,mouth sores
oral ulcers,mouth sores
mouth ulcers,mouth sores
painful mouth sores,mouth sores
mouth lesions,mouth sores
sores in mouth,mouth sores
mouth pain,mouth sores
mouth sores and burning,mouth sores
nosebleeds,nosebleeds
epistaxis,nosebleeds
bleeding from nose,nosebleeds
blood in nose,nosebleeds
nose bleeding,nosebleeds
frequent nosebleeds,nosebleeds
nosebleeds and dizziness,nosebleeds
nosebleeds and pain,nosebleeds
nosebleeds after injury,nosebleeds
nosebleeds and dryness,nosebleeds
ear ringing,tinnitus
tinnitus,tinnitus
ringing in ears,tinnitus
buzzing in ears,tinnitus
hissing in ears,tinnitus
whistling in ears,tinnitus
ear noises,tinnitus
ringing sounds in ears,tinnitus
constant ear ringing,tinnitus
ear ringing and dizziness,tinnitus
double vision,double vision
diplopia,double vision
seeing double,double vision
blurry double vision,double vision
crossed eyes,double vision
double images,double vision
overlapping vision,double vision
dual vision,double vision
seeing two images,double vision
double sight,double vision
eye redness,eye redness
eyes red,eye redness
conjunctival redness,eye redness
redness in eyes,eye redness
reddened eyes,eye redness
bloodshot eyes,eye redness
eye irritation with redness,eye redness
redness and itching in eyes,eye redness
redness and tearing in eyes,eye redness
eye discharge,eye discharge
runny eyes,eye discharge
watery eyes,eye discharge
greasy eye discharge,eye discharge
clear eye discharge,eye discharge
yellow eye discharge,eye discharge
green eye discharge,eye discharge
eye mucus,eye discharge
sticky eye discharge,eye discharge
eye fluid,eye discharge
ear discharge,ear discharge
otorrhea,ear discharge
fluid from ears,ear discharge
wet ears,ear discharge
ear fluid,ear discharge
ear wax buildup,ear discharge
ear infection,ear discharge
earache,ear pain
hearing loss,hearing loss
decreased hearing,hearing loss
difficulty hearing,hearing loss
partial hearing loss,hearing loss
